Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-02-14,242.9,250.75,238.05,238.05,240.3,1565367.0,3820.04
2017-02-13,234.15,246.6,225.05,242.5,243.2,2983124.0,7094.83
2017-02-10,243.0,248.65,230.05,232.3,234.2,4877541.0,11719.43
2017-02-09,196.65,235.95,196.5,235.95,235.95,6649406.0,15044.81
2017-02-08,197.3,200.95,193.5,196.5,196.65,701836.0,1385.11
2017-02-07,190.25,203.8,186.55,197.15,197.4,2497781.0,4948.3
2017-02-06,189.95,193.7,188.05,188.5,188.85,500951.0,957.98
2017-02-03,187.8,191.45,186.3,189.5,188.9,354742.0,670.87
2017-02-02,188.0,189.7,186.0,187.0,187.35,312887.0,588.03
2017-02-01,183.8,189.7,183.8,187.3,187.7,410080.0,765.67
2017-01-31,188.0,190.85,183.0,183.4,183.8,316625.0,592.62
2017-01-30,192.0,194.5,187.1,187.75,188.1,290102.0,553.51
2017-01-27,196.65,199.45,192.15,192.4,193.4,474970.0,931.2
2017-01-25,197.1,203.6,193.5,197.45,197.8,1134552.0,2254.32
2017-01-24,191.95,200.4,189.55,196.8,196.8,1153289.0,2263.64
2017-01-23,184.8,191.5,184.3,191.0,190.9,336809.0,637.03
2017-01-20,190.8,193.0,183.55,185.2,184.5,383631.0,721.42
2017-01-19,192.6,193.95,189.5,192.0,192.15,265604.0,510.49
2017-01-18,195.6,197.8,189.3,192.0,192.55,531134.0,1031.4
2017-01-17,190.2,200.9,189.0,195.8,196.05,1365035.0,2681.8
2017-01-16,187.8,192.85,184.85,189.05,189.25,487415.0,924.7
2017-01-13,189.35,191.8,186.05,187.5,188.0,381296.0,718.01
2017-01-12,193.95,193.95,185.85,188.35,188.3,503920.0,952.45
2017-01-11,189.5,196.0,188.4,193.0,193.95,830730.0,1603.53
2017-01-10,187.95,190.7,186.3,188.0,188.35,527300.0,992.94
2017-01-09,183.55,191.0,181.0,187.8,187.85,809071.0,1518.37
2017-01-06,190.4,190.8,181.45,183.6,182.95,597941.0,1107.9
2017-01-05,188.8,194.6,186.55,189.35,189.65,1564103.0,2985.36
2017-01-04,171.5,189.0,171.0,187.3,187.45,1956930.0,3567.7
2017-01-03,173.3,176.7,170.0,171.0,172.35,666674.0,1160.47
2017-01-02,164.05,174.3,161.9,172.85,172.8,822489.0,1391.86
2016-12-30,166.0,170.45,165.0,165.5,165.8,831650.0,1392.13
2016-12-29,151.4,165.5,150.55,163.75,164.0,1526949.0,2457.54
2016-12-28,147.3,154.4,146.85,151.55,151.4,417411.0,631.48
2016-12-27,144.3,148.6,141.15,147.5,147.3,331528.0,482.53
2016-12-26,150.25,150.25,142.35,143.0,144.35,222785.0,326.05
2016-12-23,151.7,154.5,149.05,151.15,151.6,353374.0,537.68
2016-12-22,156.15,156.8,151.9,152.1,152.3,228952.0,351.4
2016-12-21,158.85,160.4,155.65,156.6,156.55,318096.0,501.74
2016-12-20,163.2,164.2,156.55,157.2,157.8,305979.0,492.04
2016-12-19,165.0,166.8,162.35,162.6,163.2,349712.0,575.92
2016-12-16,168.0,169.7,164.0,164.65,165.05,246874.0,412.2
2016-12-15,165.95,170.8,163.6,168.0,167.3,418695.0,704.53
2016-12-14,169.45,172.4,165.3,166.25,165.95,472902.0,799.58
2016-12-13,170.0,172.75,168.1,168.4,169.0,514385.0,875.18
2016-12-12,171.0,177.4,167.0,168.95,169.5,1555098.0,2686.01
2016-12-09,160.45,175.15,159.25,170.65,171.35,2110470.0,3585.57
2016-12-08,157.95,161.65,157.95,158.75,159.25,285092.0,455.58
2016-12-07,155.3,161.7,155.3,157.0,156.55,449891.0,715.36
2016-12-06,156.9,159.7,155.85,156.15,156.55,217535.0,342.85
2016-12-05,154.85,158.0,153.55,156.45,156.65,230674.0,360.68
2016-12-02,157.7,159.3,154.5,154.65,155.2,312824.0,490.39
2016-12-01,164.9,165.75,158.25,159.0,158.85,379897.0,613.87
2016-11-30,159.8,164.5,159.15,163.45,163.4,537173.0,870.98
2016-11-29,162.3,165.75,157.5,159.55,158.75,612833.0,994.32
2016-11-28,161.5,166.0,159.55,160.8,160.7,680002.0,1105.55
2016-11-25,155.0,161.95,154.05,161.05,161.3,1028454.0,1643.87
2016-11-24,153.5,158.6,149.75,154.25,154.25,782457.0,1201.78
2016-11-23,152.4,157.8,146.75,154.0,154.15,983044.0,1509.01
2016-11-22,148.2,153.0,142.25,149.7,150.35,999169.0,1469.81
2016-11-21,157.0,157.9,149.15,149.15,149.15,439090.0,663.89
2016-11-18,158.3,161.65,156.0,156.05,156.95,614889.0,973.77
2016-11-17,153.25,159.7,148.1,157.2,157.15,1125851.0,1748.38
2016-11-16,171.0,173.3,152.3,153.8,153.3,987362.0,1575.4
2016-11-15,184.95,184.95,166.6,166.6,166.6,747023.0,1276.01
2016-11-11,197.1,201.2,183.1,184.3,185.1,761681.0,1459.68
